Растение,Совпадение
Растение 1,True
Растение 2,True
Растение 3,True
Растение 4,True
Растение 5,True
Растение 6,True
Растение 7,True
Растение 8,True
Растение 9,True
Растение 10,True
Растение 11,True
Растение 12,True
Растение 13,True
Растение 14,True
Растение 15,True
Растение 16,True
Растение 17,True
Растение 18,True
Растение 19,True
Растение 20,True
Растение 21,True
Растение 22,True
Растение 23,True
Растение 24,True
Растение 25,True
Растение 26,True
Растение 27,True
Растение 28,True
Растение 29,True
Растение 30,True
Растение 31,True
Растение 32,True
Растение 33,True
Растение 34,True
Растение 35,True
Растение 36,True
Растение 37,True
Растение 38,True
Растение 39,True
Растение 40,True
Растение 41,True
Растение 42,True
Растение 43,True
Растение 44,True
Растение 45,True
Растение 46,True
Растение 47,True
Растение 48,True
Растение 49,True
Растение 50,True
Растение 51,True
Растение 52,True
Растение 53,True
Растение 54,True
Растение 55,True
Растение 56,True
Растение 57,True
Растение 58,True
Растение 59,True
Растение 60,True
Растение 61,True
Растение 62,True
